Area,species,species_number,height,crown_width,dbh,health,health_number
5,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
1,Acerifolia,1,2.5,2.5,20,Poor,4
5,Acerifolia,1,2.5,2.5,20,Fair,2
5,Acerifolia,1,2.5,2.5,20,Good,3
5,Acerifolia,1,2.5,2.5,20,Good,3
5,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Fair,2
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
3,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
5,Acerifolia,1,2.5,2.5,20,Good,3
5,Acerifolia,1,2.5,2.5,20,Good,3
5,Acerifolia,1,2.5,2.5,20,Good,3
5,Acerifolia,1,2.5,2.5,20,Good,3
5,Acerifolia,1,2.5,2.5,20,Good,3
5,Acerifolia,1,2.5,2.5,20,Good,3
5,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
5,Acerifolia,1,2.5,2.5,20,Good,3
5,Acerifolia,1,2.5,2.5,20,Good,3
5,Acerifolia,1,2.5,2.5,20,Good,3
5,Acerifolia,1,2.5,2.5,20,Good,3
5,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
5,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
4,Acerifolia,1,2.5,2.5,20,Good,3
